x,y,z
0.9897461,0.3034668,-0.103515624
0.9902344,0.30639648,-0.14233398
0.9941406,0.32885742,-0.14379883
0.9916992,0.32836914,-0.13891602
0.9902344,0.33813476,-0.17016602
0.9904785,0.336425784,-0.1303711
0.9892578,0.337890632,-0.13061524
0.98828125,0.32836914,-0.15844726
0.9897461,0.32592772,-0.15161133
0.98876952,0.30859376,-0.12646484
0.99560544,0.32226562,-0.14428711
0.9926758,0.30688476,-0.140625
0.9916992,0.34838868,-0.14453125
0.98168948,0.2631836,-0.16674804
0.9851074,0.3227539,-0.12475586
0.9890137,0.31274414,-0.14379883
0.9875488,0.32641602,-0.16137696
0.9914551,0.32910156,-0.168701168
0.9995117,0.3310547,-0.14013672
0.9875488,0.34155272,-0.16015625
0.9892578,0.31860352,-0.13891602
0.9873047,0.343017568,-0.15307617
0.9968262,0.34179688,-0.15039062
0.992431632,0.33081056,-0.12792969
0.9909668,0.31933594,-0.13208008
0.986084,0.33569336,-0.15161133
0.99072264,0.34106444,-0.1430664
0.9938965,0.3400879,-0.16186524
1.0024414,0.368164068,-0.15527344
0.9794922,0.25146484,-0.15600586
0.9938965,0.3149414,-0.13476562
0.9880371,0.37695312,-0.13842774
0.9885254,0.33544922,-0.13256836
0.989501936,0.27954102,-0.1381836
0.9987793,0.2902832,-0.13305664
1.0063476,0.31420898,-0.14013672
1.0136719,0.32836914,-0.14160156
0.9951172,0.28125,-0.13305664
1.0009766,0.3244629,-0.09106445
1.0134277,0.27856444,-0.14892578
1.0114746,0.2397461,-0.095703128
1.0161133,0.30151368,-0.12060547
1.0168457,0.3137207,-0.16455078
1.0361328,0.26245116,-0.11352539
1.0031738,0.28955078,-0.15795898
1.0092774,0.2097168,-0.06689453
1.012207,0.16479492,-0.10424805
1.0371094,0.26123048,-0.10131836
1.0197754,0.10498047,-0.10449219
1.0227051,0.15234375,-0.043701172
1.0214844,0.15942383,-0.072509768
1.0285644,0.190673832,-0.09057617
