x,y,z,alphabet
-0.9370117,0.13256836,-0.17749024,A
-0.9387207,0.13061524,-0.16625976,A
-0.9406738,0.125,-0.16625976,A
-0.94262696,0.123291016,-0.15014648,A
-0.954834,0.12207031,-0.14697266,A
-0.935791,0.12084961,-0.15820312,A
-0.9345703,0.12011719,-0.16308594,A
-0.9382324,0.11376953,-0.16699219,A
-0.94555668,0.114746092,-0.168701168,A
-0.9362793,0.115478516,-0.175537108,A
-0.94384768,0.12524414,-0.174804684,A
-0.938964864,0.12646484,-0.17114258,A
-0.938964864,0.12548828,-0.17114258,A
-0.93774416,0.12207031,-0.16235352,A
-0.9482422,0.12573242,-0.1706543,A
-0.9382324,0.12475586,-0.17895508,A
-0.93066408,0.12573242,-0.18164062,A
-0.9482422,0.12597656,-0.1772461,A
-0.9321289,0.12109375,-0.17163086,A
-0.93530268,0.10131836,-0.16040039,A
-0.9404297,0.10058594,-0.15649414,A
-0.940917936,0.12158203,-0.17822266,A
-0.934082064,0.12963867,-0.176025392,A
-0.93237304,0.122558592,-0.17822266,A
-0.93969732,0.111816408,-0.168945316,A
-0.94018552,0.118652344,-0.16772461,A
-0.93774416,0.10888672,-0.17456054,A
-0.93969732,0.107177736,-0.17773438,A
-0.92822264,0.12475586,-0.184326168,A
-0.94262696,0.1315918,-0.15893554,A
-0.9470215,0.12084961,-0.15844726,A
-0.9555664,0.12768554,-0.15966797,A
-0.9428711,0.12817383,-0.16552734,A
-0.9440918,0.1171875,-0.16674804,A
-0.9440918,0.10986328,-0.17333984,A
-0.9411621,0.10668945,-0.1616211,A
-0.92944332,0.1081543,-0.17211914,A
-0.9326172,0.119140624,-0.17163086,A
-0.9470215,0.12573242,-0.16992188,A
-0.9362793,0.12792969,-0.16674804,A
-0.92822264,0.13354492,-0.18554688,A
-0.94189452,0.1262207,-0.18579102,A
-0.9350586,0.12182617,-0.176025392,A
-0.939209,0.12915039,-0.175292976,A
-0.9428711,0.1394043,-0.174804684,A
-0.9350586,0.1394043,-0.1772461,A
-0.94018552,0.12695312,-0.168701168,A
-0.939209,0.12402344,-0.16772461,A
-0.9316406,0.12597656,-0.17211914,A
-0.9362793,0.1315918,-0.18237304,A
-0.94018552,0.13769531,-0.17993164,A
-0.9265137,0.13989258,-0.18530274,A
-0.94799804,0.13671875,-0.18017578,A
-0.940917936,0.1315918,-0.17700196,A
-0.9436035,0.119384768,-0.1586914,A
-0.939209,0.10839844,-0.16235352,A
-0.9291992,0.12573242,-0.183837884,A
-0.9333496,0.14257812,-0.2019043,A
-0.9445801,0.14746094,-0.18481446,A
