thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,pinky_x,pinky_y,pinky_z,alphabet
1.0544434,0.08618164,-0.22924804,-0.8977051,0.1862793,-0.31689452,-0.9370117,0.046875,-0.11401367,-1.0864258,0.171875,0.07714844,-1.0866699,0.17138672,0.08227539,A
1.0554199,0.115478516,-0.25439452,-0.90356448,0.17138672,-0.3010254,-0.929931664,0.024658204,-0.107666016,-1.088623,0.15991211,0.092041016,-1.0871582,0.15722656,0.088378904,A
1.0480957,0.08618164,-0.24804688,-0.892334,0.17797852,-0.30371094,-0.9272461,0.0383300768,-0.114746092,-1.0808106,0.16357422,0.088134768,-1.0817871,0.168212892,0.08251953,A
1.0478516,0.111572264,-0.24487304,-0.9030762,0.1809082,-0.30859376,-0.9416504,0.033935548,-0.106933592,-1.0905762,0.168212892,0.0795898436,-1.0905762,0.16625976,0.0859375,A
1.0556641,0.08911133,-0.22875976,-0.895751936,0.1784668,-0.31054688,-0.92700195,0.04321289,-0.11425781,-1.0812988,0.16699219,0.07836914,-1.0808106,0.16552734,0.0795898436,A
1.0478516,0.09375,-0.237548832,-0.89208984,0.17944336,-0.32080078,-0.9301758,0.040039064,-0.13183594,-1.0871582,0.1628418,0.07910156,-1.0883789,0.16113281,0.06958008,A
1.0505371,0.09277344,-0.23291016,-0.89208984,0.16748047,-0.31591796,-0.92041016,0.032714844,-0.12133789,-1.0800781,0.15307617,0.06958008,-1.0805664,0.15307617,0.07104492,A
1.0532226,0.084228516,-0.23339844,-0.890625,0.18481446,-0.3244629,-0.9255371,0.041748048,-0.11694336,-1.0854492,0.16699219,0.07348633,-1.0844726,0.16748047,0.07885742,A
1.0566406,0.10131836,-0.231445316,-0.8972168,0.1845703,-0.30908204,-0.92822264,0.041748048,-0.111083984,-1.0849609,0.17358398,0.080078132,-1.0776367,0.17382812,0.08251953,A
1.0610352,0.09790039,-0.24047852,-0.8937988,0.17919922,-0.30859376,-0.934082064,0.037109376,-0.115722652,-1.0874024,0.16699219,0.08935547,-1.0883789,0.16479492,0.0859375,A
1.0527344,0.10449219,-0.23339844,-0.898681664,0.182617184,-0.30737304,-0.93359376,0.04248047,-0.10791016,-1.0883789,0.16967774,0.08691406,-1.088623,0.17211914,0.08691406,A
1.0571289,0.10498047,-0.22729492,-0.892334,0.1845703,-0.3137207,-0.9265137,0.03149414,-0.11279297,-1.076416,0.16699219,0.080566408,-1.0766602,0.168457032,0.083740232,A
1.0449219,0.09106445,-0.23168946,-0.89208984,0.176269532,-0.31884766,-0.9194336,0.033935548,-0.118652344,-1.0822754,0.15942383,0.08129883,-1.079834,0.15893554,0.079833984,A
1.0500488,0.10424805,-0.24145508,-0.89624024,0.174804684,-0.3083496,-0.921875,0.029785156,-0.12597656,-1.0839844,0.15942383,0.08276367,-1.0825195,0.1616211,0.080566408,A
1.0537109,0.0925293,-0.23413086,-0.8859863,0.1796875,-0.3161621,-0.92456056,0.0383300768,-0.11694336,-1.0803223,0.1628418,0.07910156,-1.0820312,0.1586914,0.08276367,A
1.0507812,0.104003908,-0.245361332,-0.8911133,0.17822266,-0.3046875,-0.9177246,0.03491211,-0.10571289,-1.0786133,0.15917969,0.0795898436,-1.076416,0.15942383,0.08251953,A
1.0478516,0.0847168,-0.23999024,-0.8913574,0.18066406,-0.31982422,-0.9296875,0.036621092,-0.11694336,-1.0881348,0.16601562,0.07714844,-1.088623,0.16113281,0.0795898436,A
1.0717774,0.10546875,-0.22509766,-0.907959,0.18896484,-0.31347656,-0.92626952,0.0397949216,-0.10571289,-1.0878906,0.16503906,0.08886719,-1.0878906,0.16723633,0.08618164,A
1.0522461,0.092041016,-0.238281252,-0.8977051,0.1784668,-0.3137207,-0.93237304,0.03466797,-0.11376953,-1.0844726,0.16235352,0.080078132,-1.0834961,0.16577148,0.08618164,A
1.0544434,0.10839844,-0.25,-0.904541,0.176025392,-0.30004884,-0.9375,0.02319336,-0.096191408,-1.0917969,0.16235352,0.09057617,-1.0952148,0.16748047,0.091796872,A
1.0612793,0.072265624,-0.2368164,-0.89404296,0.18115234,-0.3203125,-0.9279785,0.0390625,-0.13232422,-1.0849609,0.16503906,0.0847168,-1.0788574,0.16748047,0.08642578,A
1.0583496,0.10620117,-0.24291992,-0.9038086,0.17944336,-0.30371094,-0.9355469,0.040283204,-0.115722652,-1.0905762,0.1640625,0.07885742,-1.088623,0.1652832,0.08618164,A
